,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
389,ourossogui,15.61,-13.32,77.0,57,0,2.24,SN,1603682801
390,tilichiki,60.47,166.1,33.75,92,100,5.57,RU,1603682803
391,iwaki,37.05,140.88,64.99,61,33,5.01,JP,1603682805
392,tamale,9.4,-0.84,76.44,60,23,2.48,GH,1603682807
393,kamenka,51.32,42.77,39.0,94,22,3.91,RU,1603682809
394,san lorenzo,13.3,-4.9,77.65,17,10,6.38,ML,1603682706
395,adrar,20.5,-10.07,84.07,14,50,7.78,MR,1603682812
396,sokode,8.98,1.13,71.71,74,66,1.95,TG,1603682814
397,coro,11.4,-69.67,79.66,82,60,10.89,VE,1603682816
398,ceres,37.59,-120.96,62.6,25,1,14.99,US,1603682817
399,encruzilhada,-15.53,-40.91,67.24,93,100,3.42,BR,1603682819
400,saint-augustin,51.23,-58.65,31.46,85,0,11.63,CA,1603682822
401,krasnoselkup,65.7,82.47,3.04,93,0,9.84,RU,1603682824
402,ahipara,-35.17,173.17,69.01,65,6,5.64,NZ,1603682826
403,akdepe,42.06,59.38,50.0,44,0,6.93,TM,1603682827
404,plettenberg bay,51.22,7.88,48.0,93,100,4.76,DE,1603682829
405,antofagasta,-23.65,-70.4,59.0,72,90,2.24,CL,1603682775
406,daru,-9.08,143.21,84.4,70,100,9.75,PG,1603682834
407,carnarvon,-24.87,113.63,77.0,69,0,19.46,AU,1603682836
408,tianpeng,30.99,103.94,73.0,1,89,3.06,CN,1603682838
409,turayf,31.67,38.66,59.0,28,0,5.82,SA,1603682840
410,praya,14.92,-23.51,80.6,69,99,19.46,CV,1603682841
411,isabela,6.71,121.97,82.4,78,90,6.93,PH,1603682843
412,barcelos,41.54,-8.62,48.2,100,75,3.36,PT,1603682845
413,taoudenni,22.68,-3.98,82.08,16,48,7.27,ML,1603682848
414,shelburne,44.08,-80.2,39.2,55,90,10.29,CA,1603682852
415,springbok,-29.66,17.89,55.87,58,10,2.68,ZA,1603682854
416,grajau,-5.82,-46.14,75.34,88,99,0.43,BR,1603682859
417,sechura,-5.56,-80.82,65.64,79,82,13.2,PE,1603682861
418,winslow,35.02,-110.7,60.8,44,1,10.29,US,1603682862
419,buraydah,26.33,43.98,57.2,35,0,2.24,SA,1603682596
420,takoradi,4.88,-1.76,77.02,92,67,7.85,GH,1603682654
421,sawtell,-30.38,153.1,70.0,73,40,8.05,AU,1603682867
422,egvekinot,66.32,-179.17,21.6,93,0,5.19,RU,1603682869
423,mercedes,-34.65,-59.43,64.0,92,42,1.01,AR,1603682871
424,mataram,-8.58,116.12,87.8,62,40,10.29,ID,1603682874
425,rozkishne,48.51,39.3,43.61,84,86,3.98,UA,1603682876
426,yaqui,27.37,-110.17,76.44,65,0,4.56,MX,1603682878
427,sur,22.57,59.53,76.5,56,0,6.29,OM,1603682619
428,waingapu,-9.66,120.26,89.26,50,100,5.97,ID,1603682882
429,puerto cabezas,36.59,-6.23,60.8,82,20,10.29,ES,1603682884
430,bonthe,7.53,-12.51,78.08,85,0,4.43,SL,1603682886
431,santa isabel,17.49,120.43,88.09,67,100,17.52,PH,1603682887
432,meulaboh,4.14,96.13,83.32,69,98,1.41,ID,1603682889
433,namibe,-15.2,12.15,66.45,85,30,6.29,AO,1603682891
434,vinci,43.78,10.92,55.99,100,40,1.12,IT,1603682892
435,bosaso,11.28,49.18,74.16,58,100,2.8,SO,1603682667
436,cayenne,4.93,-52.33,77.0,100,20,1.12,GF,1603682896
437,ushtobe,45.25,77.98,50.45,44,0,4.05,KZ,1603682898
438,mount isa,53.66,-1.85,44.01,92,76,5.01,GB,1603682899
439,dunedin,-45.87,170.5,50.0,68,100,11.01,NZ,1603682698
440,swan hill,18.22,121.38,80.91,89,95,7.4,PH,1603682903
441,foki,56.69,54.35,29.32,96,7,7.87,RU,1603682905
442,chowchilla,37.12,-120.26,61.0,76,1,4.7,US,1603682909
443,santa luzia,17.49,120.43,88.09,67,100,17.52,PH,1603682887
444,gawler,-34.6,138.73,64.99,50,56,1.99,AU,1603682915
445,clyde river,41.3,-82.98,48.99,68,100,2.26,US,1603682917
446,talaya,61.38,152.75,23.76,93,100,7.81,RU,1603682670
447,klaksvik,62.23,-6.59,42.8,93,1,2.24,FO,1603682920
448,sao sebastiao,20.51,76.21,75.47,67,0,3.06,IN,1603682922
449,biak,-0.91,122.88,85.89,61,29,3.85,ID,1603682924
450,grindavik,63.84,-22.43,39.2,93,0,9.17,IS,1603682926
451,eydhafushi,5.1,73.07,82.2,74,100,11.77,MV,1603682928
452,shimoda,34.67,138.95,69.8,60,75,3.36,JP,1603682930
453,svetlogorsk,52.63,29.73,43.52,95,86,7.09,BY,1603682932
454,paraiso,9.84,-83.87,69.8,100,0,1.61,CR,1603682933
455,tevaitoa,-16.78,-151.5,80.46,70,35,5.37,PF,1603682935
456,freeport,40.66,-73.58,54.0,81,90,8.05,US,1603682738
457,razole,16.48,81.83,83.07,64,10,3.27,IN,1603682939
458,kyshtovka,56.55,76.63,34.41,97,96,4.99,RU,1603682941
459,bushehr,28.97,50.84,71.6,73,0,6.93,IR,1603682944
460,aklavik,68.22,-135.01,19.4,79,90,6.93,CA,1603682762
461,kununurra,-15.77,128.73,96.8,37,100,3.36,AU,1603682683
462,matay,28.42,30.78,64.65,83,0,7.11,EG,1603682953
463,hingatungan,10.58,125.19,81.97,78,99,8.12,PH,1603682955
464,kuznechnoye,61.12,29.87,42.01,94,100,9.4,RU,1603682956
465,hortolandia,-22.86,-47.22,66.2,82,0,5.82,BR,1603682744
466,ust-ishim,57.69,71.17,35.42,97,100,5.99,RU,1603682960
467,filingue,14.35,3.32,80.4,15,22,9.89,NE,1603682962
468,chateauroux,46.82,1.7,48.2,93,0,10.29,FR,1603682963
469,havre-saint-pierre,50.23,-63.6,28.4,63,1,4.7,CA,1603682797
470,caravelas,-17.71,-39.25,72.07,97,100,11.81,BR,1603682967
471,ampanihy,-24.7,44.75,72.36,61,96,1.54,MG,1603682968
472,aykhal,66.0,111.5,3.2,84,0,2.24,RU,1603682676
473,annau,37.89,58.52,51.8,29,0,2.24,TM,1603682972
474,kurilsk,45.23,147.88,49.51,74,71,20.09,RU,1603682975
475,sao luis de montes belos,20.51,76.21,75.47,67,0,3.06,IN,1603682976
476,deniliquin,-35.53,144.97,59.2,55,100,9.66,AU,1603682877
477,hornepayne,49.21,-84.77,25.38,95,100,4.12,CA,1603682981
478,concordia,-31.39,-58.02,68.0,98,91,3.0,AR,1603682983
479,kirakira,-10.45,161.92,83.66,78,87,7.94,SB,1603682985
480,motygino,58.18,94.76,27.54,85,100,8.25,RU,1603682988
481,gorontalo,0.54,123.06,89.42,58,32,7.9,ID,1603682949
482,harper,4.38,-7.72,77.4,90,17,6.67,LR,1603682996
483,perth,-31.93,115.83,78.01,36,0,9.17,AU,1603682843
484,mwense,-10.38,28.7,71.82,40,100,4.05,ZM,1603683000
485,chake chake,23.86,103.05,69.69,67,2,3.31,CN,1603683002
486,lamu,-2.27,40.9,77.0,88,1,3.36,KE,1603683004
487,kharp,66.8,65.81,15.78,94,100,10.89,RU,1603683006
488,boa vista,4.43,8.97,76.05,86,96,1.19,CM,1603683008
489,jiaonan,35.88,119.98,71.01,42,20,6.71,CN,1603683010
490,pocao de pedras,-3.37,-60.41,80.6,78,40,6.93,BR,1603683012
491,wajir,1.75,40.06,76.93,73,92,15.5,KE,1603683013
492,carutapera,-1.2,-46.02,78.55,83,29,5.99,BR,1603682930
493,aanekoski,62.69,25.82,45.0,100,90,11.41,FI,1603683017
494,zapolyarnyy,69.42,30.81,30.2,80,100,23.04,RU,1603683020
495,shujaabad,29.88,71.29,64.4,68,0,10.33,PK,1603683022
496,tagusao,9.19,117.81,82.54,76,100,15.7,PH,1603683023
497,mangaratiba,-22.96,-44.04,69.53,86,12,1.99,BR,1603683025
498,nouakchott,18.09,-15.98,78.8,50,0,4.7,MR,1603683027
499,roebourne,-20.78,117.13,91.09,24,17,11.39,AU,1603683029
500,half moon bay,6.38,-10.7,76.15,89,10,2.55,LR,1603683031
501,nowy dwor gdanski,54.75,20.62,51.8,93,90,8.95,RU,1603683033
502,broome,42.25,-75.83,46.99,56,90,10.29,US,1603683034
503,pokhara,28.23,83.98,74.7,29,0,1.99,NP,1603682983
504,canutama,-6.53,-64.38,73.49,82,27,1.28,BR,1603683038
505,jerome,42.72,-114.52,26.6,63,1,0.43,US,1603683040
506,sept-iles,50.2,-66.38,30.99,79,5,6.08,CA,1603683042
507,tarakan,3.3,117.63,80.06,81,100,7.83,ID,1603683045
508,kavarskas,55.43,24.92,47.34,89,100,12.77,LT,1603683046
509,surin,14.88,103.49,77.0,78,88,6.49,TH,1603683022
510,kuching,1.55,110.33,82.4,83,40,2.24,MY,1603683049
511,grand gaube,38.88,-109.5,28.4,81,97,12.75,US,1603683051
512,yerbogachen,61.28,108.01,24.82,91,59,6.58,RU,1603683053
513,hinesville,31.85,-81.6,70.0,100,1,2.06,US,1603683056
514,kindersley,51.47,-109.17,8.6,71,40,11.41,CA,1603683057
515,sanchor,24.76,71.77,83.59,23,0,0.81,IN,1603683059
516,kalabo,-14.97,22.68,68.58,29,8,5.57,ZM,1603683061
517,hambantota,6.12,81.12,86.23,58,17,8.08,LK,1603683063
518,nuevo progreso,33.8,-117.15,59.0,71,75,6.93,US,1603683065
519,souillac,-20.52,57.52,75.2,73,75,16.11,MU,1603683067
520,aonla,28.28,79.15,78.15,29,0,3.96,IN,1603683069
521,bandarbeyla,9.49,50.81,75.61,73,20,10.76,SO,1603683074
522,san pablo,13.3,-4.9,75.92,18,13,6.87,ML,1603683076
523,hobyo,5.35,48.53,79.83,80,22,3.4,SO,1603683079
524,luanda,-8.84,13.23,75.2,94,90,4.7,AO,1603683081
525,baoning,25.34,110.03,78.8,54,75,2.24,CN,1603683083
526,hudson bay,40.72,-74.07,53.01,87,90,8.05,US,1603683084
527,hovd,48.01,91.64,35.67,58,6,2.1,MN,1603683086
528,manta,-0.95,-80.73,73.4,83,75,8.05,EC,1603683088
529,mykolayivka,47.54,30.76,54.25,76,100,9.19,UA,1603683090
530,hasaki,35.73,140.83,75.0,49,40,3.36,JP,1603683091
531,napanee,44.25,-76.95,41.0,51,90,13.87,CA,1603683004
532,pingliang,35.54,106.69,56.25,36,63,8.63,CN,1603683097
533,maldonado,-34.67,-54.92,71.6,88,90,10.29,UY,1603683026
534,ruwi,23.6,58.55,69.8,64,0,3.36,OM,1603683100
535,taltal,-25.4,-70.48,58.96,61,0,1.92,CL,1603683102
536,dzhebariki-khaya,62.22,135.8,16.92,89,4,3.2,RU,1603683103
537,itarema,-2.92,-39.92,79.12,82,0,15.1,BR,1603683039
538,tshela,-4.98,12.93,73.04,93,100,0.98,CD,1603683109
539,bemidji,47.47,-94.88,21.2,79,90,5.82,US,1603682853
